DEVICEID,LINE_TIMESTAMP,Q,P,T
LINE2,01-10-2020 00:00:39.543,0.05,1.51,17.74
LINE2,01-10-2020 00:01:39.541,0.05,1.51,17.80
LINE2,01-10-2020 00:02:39.542,0.05,1.50,17.81
LINE2,01-10-2020 00:03:39.541,0.05,1.50,17.93
LINE2,01-10-2020 00:04:39.543,0.05,1.49,17.90
LINE2,01-10-2020 00:05:39.543,0.05,1.51,17.89
LINE2,01-10-2020 00:06:39.542,0.05,1.50,17.94
LINE2,01-10-2020 00:07:39.543,0.05,1.50,17.89
LINE2,01-10-2020 00:08:39.542,0.05,1.51,17.97
LINE2,01-10-2020 00:09:39.543,0.05,1.50,18.02
LINE2,01-10-2020 00:10:39.542,0.05,1.50,18.01
LINE2,01-10-2020 00:11:39.542,0.05,1.51,18.12
LINE2,01-10-2020 00:12:39.543,0.05,1.50,18.13
LINE2,01-10-2020 00:13:39.543,0.05,1.50,18.12
LINE2,01-10-2020 00:14:39.542,0.05,1.50,18.16
LINE2,01-10-2020 00:15:39.541,0.05,1.51,18.13
LINE2,01-10-2020 00:16:39.542,0.05,1.51,18.19
LINE2,01-10-2020 00:17:39.541,0.05,1.51,18.18
LINE2,01-10-2020 00:18:39.543,0.05,1.50,18.18
LINE2,01-10-2020 00:19:24.670,,,17.96
LINE2,01-10-2020 00:19:39.542,0.05,1.50,17.89
LINE2,01-10-2020 00:20:02.671,,,17.69
LINE2,01-10-2020 00:20:39.542,0.05,1.50,17.68
LINE2,01-10-2020 00:21:39.543,0.05,1.50,17.71
LINE2,01-10-2020 00:22:39.542,0.05,1.50,17.67
LINE2,01-10-2020 00:23:39.542,0.05,1.50,17.58
LINE2,01-10-2020 00:24:39.541,0.05,1.49,17.54
LINE2,01-10-2020 00:25:39.542,0.05,1.50,17.53
LINE2,01-10-2020 00:26:39.541,0.05,1.50,17.47
LINE2,01-10-2020 00:27:39.542,0.05,1.48,17.49
LINE2,01-10-2020 00:28:39.541,0.05,1.51,17.46
LINE2,01-10-2020 00:29:39.542,0.05,1.48,17.47
LINE2,01-10-2020 00:30:39.543,0.05,1.50,17.49
LINE2,01-10-2020 00:31:31.175,,,17.25
LINE2,01-10-2020 00:31:39.542,0.05,1.47,17.37
LINE2,01-10-2020 00:32:39.543,0.05,1.50,17.24
LINE2,01-10-2020 00:33:39.542,0.05,1.50,17.24
LINE2,01-10-2020 00:34:39.543,0.05,1.51,17.14
LINE2,01-10-2020 00:35:39.542,0.05,1.51,17.15
LINE2,01-10-2020 00:36:39.542,0.05,1.50,17.12
LINE2,01-10-2020 00:37:39.543,0.05,1.51,17.03
LINE2,01-10-2020 00:38:39.541,0.05,1.50,17.03
LINE2,01-10-2020 00:39:39.543,0.05,1.50,17.02
LINE2,01-10-2020 00:40:39.542,0.05,1.50,16.93
LINE2,01-10-2020 00:41:39.543,0.05,1.51,17.04
LINE2,01-10-2020 00:42:39.541,0.05,1.51,16.93
LINE2,01-10-2020 00:43:39.543,0.05,1.49,16.86
LINE2,01-10-2020 00:44:39.543,0.05,1.50,16.87
LINE2,01-10-2020 00:45:39.542,0.05,1.52,16.86
LINE2,01-10-2020 00:46:39.542,0.05,1.49,16.86
LINE2,01-10-2020 00:47:39.542,0.05,1.52,16.81
LINE2,01-10-2020 00:48:39.543,0.05,1.53,16.82
LINE2,01-10-2020 00:49:39.541,0.05,1.51,16.81
LINE2,01-10-2020 00:50:39.542,0.05,1.50,16.72
LINE2,01-10-2020 00:51:39.542,0.05,1.50,16.81
LINE2,01-10-2020 00:52:39.543,0.05,1.50,16.64
LINE2,01-10-2020 00:53:39.542,0.05,1.50,16.70
LINE2,01-10-2020 00:54:39.541,0.05,1.50,16.65
LINE2,01-10-2020 00:55:39.541,0.05,1.50,16.59
LINE2,01-10-2020 00:56:39.542,0.05,1.50,16.59
LINE2,01-10-2020 00:57:39.543,0.05,1.51,16.49
LINE2,01-10-2020 00:58:39.542,0.05,1.51,16.51
LINE2,01-10-2020 00:59:39.542,0.05,1.51,16.46
LINE2,01-10-2020 01:00:39.543,0.05,1.52,16.45
LINE2,01-10-2020 01:01:39.541,0.05,1.51,16.40
LINE2,01-10-2020 01:02:39.542,0.05,1.48,16.37
LINE2,01-10-2020 01:03:39.541,0.05,1.50,16.28
LINE2,01-10-2020 01:04:39.543,0.05,1.50,16.28
LINE2,01-10-2020 01:05:39.542,0.05,1.50,16.15
LINE2,01-10-2020 01:06:39.542,0.05,1.51,16.18
LINE2,01-10-2020 01:07:39.542,0.05,1.50,16.16
LINE2,01-10-2020 01:08:39.543,0.05,1.52,16.04
LINE2,01-10-2020 01:09:39.542,0.05,1.51,16.07
LINE2,01-10-2020 01:10:39.542,0.05,1.51,16.00
LINE2,01-10-2020 01:11:39.542,0.05,1.50,15.96
LINE2,01-10-2020 01:12:39.541,0.05,1.47,15.99
LINE2,01-10-2020 01:13:39.543,0.05,1.50,16.02
LINE2,01-10-2020 01:14:39.543,0.05,1.50,15.95
LINE2,01-10-2020 01:15:39.543,0.05,1.51,15.97
